XCoord,YCoord,A,P
-1.36750000,54.69537500,897.195187,120.137003
-1.36962500,54.69512500,448.600333,87.898175
-1.36837500,54.69512500,448.600333,87.898175
-1.36812500,54.69525000,1794.395852,208.035276
-1.36762500,54.69512500,448.600333,87.898175
-1.36737500,54.69512500,448.600333,87.898175
-1.36975000,54.69487500,897.206143,120.137791
-1.36939323,54.69487500,287.386343,77.636381
-1.36875000,54.69500000,1794.406809,175.796545
-1.36800000,54.69487500,897.206143,120.137791
-1.36762500,54.69487500,448.603072,87.898370
-1.36737500,54.69487500,448.603072,87.898370
-1.36987500,54.69462500,448.605811,87.898566
-1.36962500,54.69462500,448.605811,87.898566
-1.36923288,54.69487500,2404.232088,253.433122
-1.36875000,54.69462500,897.211622,120.138185
-1.36837500,54.69475000,897.208883,143.557417
-1.36800000,54.69462500,897.211622,120.138185
-1.36762500,54.69462500,448.605811,87.898566
-1.36737500,54.69462500,448.605811,87.898566
-1.36987500,54.69437500,448.608550,87.898762
-1.36962500,54.69437500,448.608550,87.898762
-1.36925000,54.69437500,897.217100,120.138579
-1.36875000,54.69437500,897.217100,120.138579
-1.36837500,54.69437500,448.608550,87.898762
-1.36812500,54.69437500,448.608550,87.898762
-1.36787500,54.69437500,448.608550,87.898762
-1.36762500,54.69437500,448.608550,87.898762
-1.36737500,54.69437500,448.608550,87.898762
-1.36975000,54.69412500,897.222579,120.138973
-1.36925000,54.69412500,897.222579,120.138973
-1.36887500,54.69412500,448.611289,87.898958
-1.36862500,54.69412500,448.611289,87.898958
-1.36837500,54.69412500,448.611289,87.898958
-1.36975000,54.69387500,897.228057,120.139367
-1.36925000,54.69387500,897.228057,120.139367
-1.36887500,54.69387500,448.614028,87.899154
-1.36862500,54.69387500,448.614028,87.899154
-1.36975000,54.69362500,897.233535,120.139761
-1.36925000,54.69362500,897.233535,120.139761
-1.36887500,54.69362500,448.616768,87.899350
-1.51262500,54.69325000,2691.725257,208.039996
-1.50762500,54.69325000,897.241753,143.558579
-1.50250000,54.69325000,1794.483505,175.799287
-1.50212500,54.69325000,897.241753,143.558579
-1.50162500,54.69337500,4037.575561,263.698637
-1.36987500,54.69325000,897.241753,143.558579
-1.36962500,54.69325000,897.241753,143.558579
-1.36912500,54.69325000,2691.725258,208.039996
-1.51325000,54.69287500,897.249971,120.140943
-1.50675000,54.69287500,897.249971,120.140943
-1.50625000,54.69287500,897.249971,120.140943
-1.50250000,54.69287500,897.249971,120.140943
-1.50212500,54.69287500,448.624985,87.899938
-1.36887500,54.69289327,287.294148,89.207125
-1.51369368,54.69262500,521.354484,107.765845
-1.51325000,54.69262500,897.255448,120.141337
-1.50212500,54.69262500,448.627724,87.900133
-1.50950000,54.69237500,897.260926,120.141731
-1.50912500,54.69237500,448.630463,87.900329
-1.50862500,54.69250000,2691.774561,208.041766
-1.50162500,54.69262500,4037.649517,263.700400
-1.50950000,54.69212500,897.266405,120.142125
-1.50211488,54.69229162,645.855716,145.635672
-1.51125000,54.69112500,897.288317,120.143702
-1.51087500,54.69112500,448.644159,87.901309
-1.51050000,54.69112500,897.288316,120.143702
-1.51187500,54.69087500,1345.940693,152.386687
-1.51125000,54.69087500,897.293795,120.144096
-1.51087500,54.69087500,448.646898,87.901505
-1.51050000,54.69087500,897.293795,120.144096
-1.51250000,54.69062500,897.299273,120.144490
-1.51500000,54.68975000,1794.636892,175.804772
-1.51462500,54.68975000,897.318446,143.561289
-1.51425000,54.68975000,1794.636892,175.804772
-1.51375000,54.68975000,1794.636892,175.804772
-1.51337500,54.68975000,897.318446,143.561289
-1.51918765,54.68937759,1353.450351,171.350159
-1.51800000,54.68937500,897.326663,120.146460
-1.51500000,54.68937500,897.326663,120.146460
-1.51462500,54.68937500,448.663331,87.902680
-1.51400000,54.68937500,1794.653325,184.634021
-1.51862500,54.68912500,448.666071,87.902876
-1.51837500,54.68912500,448.666071,87.902876
-1.51500000,54.68912500,897.332141,120.146854
-1.51462500,54.68912500,448.666071,87.902876
-1.51400000,54.68912500,1794.664283,184.634811
-1.51337500,54.68925000,897.329402,143.561676
-1.51862500,54.68889327,287.322213,89.209014
-1.51475000,54.68887500,897.337619,120.147248
-1.51425000,54.68887500,897.337619,120.147248
-1.51375000,54.68887500,897.337619,120.147248
-1.51337500,54.68887500,448.668809,87.903071
-1.53387500,54.68810673,287.327731,89.209461
-1.53362500,54.68787500,1346.039296,152.393794
-1.53395836,54.68763511,645.901775,109.256136
-1.53350000,54.68762500,897.365009,120.149218
-1.53287500,54.68762500,1346.047512,152.394386
-1.53350000,54.68737500,897.370487,120.149612
-1.53350000,54.68712500,897.375964,120.150006
-1.53275000,54.68712500,897.375964,120.150006
-1.53287500,54.68687500,1346.072163,152.396163
-1.79875000,54.68512500,897.419786,120.153159
-1.79825000,54.68512500,897.419786,120.153159
-1.52875000,54.68462500,897.430741,120.153947
-1.52825000,54.68462500,897.430742,120.153947
-1.52787500,54.68462500,448.715371,87.906401
-1.52875000,54.68437500,897.436219,120.154341
-1.52837500,54.68437500,448.718109,87.906597
-1.52800000,54.68437500,897.436219,120.154341
-1.52875000,54.68412500,897.441697,120.154735
-1.52837500,54.68412500,448.720848,87.906793
-1.52800000,54.68412500,897.441697,120.154735
-1.52750000,54.68412500,897.441697,120.154735
-1.52837500,54.68387500,448.723587,87.906989
-1.52800000,54.68387500,897.447174,120.155129
-1.47625000,54.68162500,897.496471,120.158675
-1.47587500,54.68162500,448.748236,87.908751
-1.47637500,54.68137500,448.750975,87.908947
-1.47600000,54.68137500,897.501949,120.159069
-1.47637500,54.68112500,448.753713,87.909143
-1.47600000,54.68112500,897.507427,120.159463
-1.47637500,54.68087500,448.756452,87.909339
-1.47500000,54.68087500,897.512903,120.159857
-1.47637500,54.68062500,448.759191,87.909535
-1.47600000,54.68062500,897.518381,120.160251
-1.47566667,54.68079167,2692.544188,240.319910
-1.47500000,54.68062500,897.518381,120.160251
-1.47687500,54.68037500,448.761929,87.909731
-1.47662500,54.68037500,448.761929,87.909731
-1.47637500,54.68037500,448.761929,87.909731
-1.47600000,54.68037500,897.523858,120.160645
-1.47550000,54.68037500,897.523858,120.160645
-1.47500000,54.68037500,897.523858,120.160645
-1.47637500,54.68012500,448.764668,87.909926
-1.47600000,54.68012500,897.529336,120.161039
-1.47550000,54.68012500,897.529336,120.161039
-1.47512500,54.68012500,448.764668,87.909926
-1.47475000,54.68012500,897.529336,120.161039
-1.47412500,54.68012500,1346.294004,152.412152
-1.47350000,54.68012500,897.529336,120.161039
-1.47312500,54.68012500,448.764668,87.909926
-1.47600000,54.67987500,897.534813,120.161433
-1.47550000,54.67987500,897.534813,120.161433
-1.47512500,54.67987500,448.767406,87.910122
-1.47475000,54.67987500,897.534813,120.161433
-1.47412500,54.67987500,1346.302219,152.412744
-1.47350000,54.67987500,897.534813,120.161433
-1.47312500,54.67987500,448.767406,87.910122
-1.47600000,54.67950000,1795.086058,175.820832
-1.47550000,54.67950000,1795.086058,175.820832
-1.47512500,54.67950000,897.543029,143.569224
-1.47475000,54.67950000,1795.086058,175.820832
-1.47412500,54.67950000,2692.629087,208.072440
-1.47350000,54.67950000,1795.086058,175.820832
-1.47550000,54.67912500,897.551245,120.162615
-1.47512500,54.67912500,448.775623,87.910710
-1.75519368,54.67762500,521.545453,107.791658
-1.75487500,54.67762500,448.792054,87.911885
-1.75112500,54.67712500,448.797531,87.912276
-1.75062500,54.67712500,1346.392593,152.419257
-1.75000000,54.67712500,897.595062,120.165767
-1.74962500,54.67712500,448.797531,87.912276
-1.74787500,54.67712500,448.797531,87.912276
-1.74750000,54.67712500,897.595062,120.165767
-1.74697144,54.67712500,750.114232,139.179242
-1.75000000,54.67687500,897.600539,120.166161
-1.74962500,54.67687500,448.800270,87.912472
-1.74925000,54.67687500,897.600539,120.166161
-1.74875000,54.67687500,897.600540,120.166161
-1.75125000,54.67662500,897.606016,120.166555
-1.75078125,54.67678125,3590.410373,272.586305
-1.75000000,54.67662500,897.606016,120.166555
-1.74962500,54.67662500,448.803008,87.912668
-1.74925000,54.67662500,897.606016,120.166555
-1.74875000,54.67662500,897.606016,120.166555
-1.75062500,54.67637500,1346.417241,152.421034
-1.75000000,54.67637500,897.611494,120.166949
-1.74962500,54.67637500,448.805747,87.912864
-1.76362500,54.67562500,448.813962,87.913452
-1.76325000,54.67562500,897.627925,120.168131
-1.76187500,54.67562500,448.813962,87.913452
-1.33262500,54.67562500,448.813962,87.913452
-1.33225000,54.67562500,897.627925,120.168131
-1.76412500,54.67537500,1346.450102,152.423402
-1.76362500,54.67537500,448.816701,87.913647
-1.76325000,54.67537500,897.633401,120.168525
-1.76275000,54.67537500,897.633401,120.168525
-1.76241667,54.67554167,2692.889251,240.336458
-1.76187500,54.67537500,448.816701,87.913647
-1.33262500,54.67537500,448.816701,87.913647
-1.33225000,54.67537500,897.633401,120.168525
-1.33187500,54.67537500,448.816701,87.913647
-1.33162500,54.67537500,448.816700,87.913647
-1.76225000,54.67512500,897.638878,120.168919
-1.76000000,54.67512500,897.638878,120.168919
-1.75962500,54.67512500,448.819439,87.913843
-1.73450000,54.67511627,626.194198,116.342788
-1.33175000,54.67512500,897.638878,120.168919
-1.33012500,54.67510673,287.415506,89.214772
-1.75962500,54.67487500,448.822177,87.914039
-1.75937500,54.67487500,448.822177,87.914039
-1.75900000,54.67487500,897.644355,120.169313
-1.73450000,54.67488373,626.197752,116.342890
-1.33337500,54.67487500,448.822177,87.914039
-1.33300000,54.67487500,897.644355,120.169313
-1.33237500,54.67487500,1346.466532,152.424587
-1.33162500,54.67487500,448.822177,87.914039
-1.33137500,54.67487500,448.822177,87.914039
