XCoord,YCoord,A,P
-1.85540353,57.57513079,3548.956836,301.306494
-1.94611023,57.57491302,430.180337,83.016671
-1.86489355,57.57485912,1613.174745,198.281976
-1.86601944,57.57462855,806.591545,155.284043
-1.86364115,57.57465850,1290.546376,230.531777
-1.86141257,57.57437403,2150.928504,239.792159
-1.87118625,57.57424378,1075.468670,199.774455
-1.86958275,57.57420335,268.867763,83.017381
-1.86696366,57.57403966,483.964851,115.267169
-1.93766607,57.57387996,107.548413,41.508993
-1.83698988,57.57391988,483.965833,93.767666
-1.86822630,57.57370030,215.095484,63.008774
-1.83774346,57.57373024,322.644160,83.017947
-1.84823878,57.57347572,537.745594,93.768312
-1.83849206,57.57352063,215.097136,63.009105
-1.83106599,57.57275706,1290.613274,184.555925
-1.83314708,57.57230791,645.315736,112.287472
-1.83426998,57.57230791,215.106043,61.519109
-1.83197628,57.57256842,1613.276685,226.066022
-1.83292251,57.57203841,215.106426,61.519043
-1.84678351,57.57200248,1613.300377,195.307788
-1.86699860,57.57133473,322.666428,83.020738
-1.86876733,57.57131772,2366.217175,287.283225
-1.83719993,57.57150513,9733.711483,559.642434
-1.87312211,57.57119143,752.890474,135.282011
-1.87199922,57.57118501,215.112628,63.011955
-1.87366110,57.57105027,322.667732,72.270290
-1.87235855,57.57109518,107.555380,41.510403
-1.86193809,57.57100535,215.113681,63.012166
-1.84728939,57.57076756,2742.707935,279.824237
-1.87433748,57.57087853,914.230619,158.276797
-1.90812946,57.57062806,537.787339,103.030771
-1.86535169,57.57064602,107.556697,41.510666
-1.84587732,57.57020671,3925.888896,367.327111
-1.83404540,57.57024178,1505.819927,155.293149
-1.82306231,57.56984936,2043.634788,246.081454
-1.92050825,57.56952313,860.484701,123.041020
-1.82254696,57.56943330,322.681954,72.271710
-1.82408434,57.56989822,12261.794793,664.479335
-1.92020200,57.56915155,591.591618,112.290448
-1.91408529,57.56898414,107.561569,50.769425
-1.91855964,57.56806121,7852.239963,714.966399
-1.91444273,57.57359820,804464.353439,8240.459678
-1.94575091,57.56723243,107.566705,41.512668
-1.98200392,57.56714559,1613.513968,198.307074
-1.81766911,57.56622631,537.850666,103.035696
-1.89351387,57.56597478,53.785495,30.761341
-1.89454693,57.56584004,1290.856626,169.045322
-1.89342404,57.56588495,53.785627,30.761264
-1.91893940,57.56538767,1506.019160,198.312691
-1.93891578,57.56507118,914.374738,198.313653
-1.88895941,57.56486087,1075.743757,169.048758
-1.88987569,57.56462731,215.148684,63.019443
-1.81576468,57.56453748,107.575803,41.514470
-1.93740941,57.56307451,753.057049,123.048537
-1.84516205,57.56217940,215.165431,72.278191
-1.93766607,57.56211203,107.581716,41.515670
-1.93865306,57.56239419,4195.683393,487.434273
-1.93811523,57.56188745,430.333089,83.031945
-1.99469800,57.56233632,33565.491336,1100.914751
